gene,D23118_B,D23118_Club,D23118_Endothelial,D23118_Fibroblast,D23118_Macrophage,D23118_Mast,D23118_Neutrophil,D23118_Plasma,D23118_T,D23118_T2P,D23118_pDC,D24118_B,D24118_Club,D24118_Endothelial,D24118_Fibroblast,D24118_Macrophage,D24118_Mast,D24118_Neutrophil,D24118_Plasma,D24118_T,D24118_T2P,D24118_pDC
ARHGEF40,0.0,1.0,5.0,7.0,88.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,48.0,2.0,0.0,0.0,3.0,2.0,0.0
ARHGEF5,3.0,1.0,1.0,1.0,89.0,10.0,10.0,2.0,18.0,12.0,2.0,2.0,4.0,1.0,2.0,44.0,1.0,1.0,0.0,24.0,10.0,0.0
ARHGEF6,31.0,1.0,12.0,34.0,2143.0,464.0,61.0,1.0,454.0,21.0,13.0,34.0,21.0,38.0,8.0,835.0,131.0,10.0,4.0,482.0,24.0,16.0
ARHGEF7,4.0,0.0,15.0,13.0,605.0,47.0,10.0,0.0,150.0,14.0,9.0,15.0,14.0,14.0,14.0,250.0,9.0,0.0,7.0,115.0,19.0,5.0
ARHGEF9,0.0,0.0,0.0,6.0,122.0,3.0,3.0,0.0,15.0,18.0,2.0,2.0,5.0,3.0,3.0,60.0,7.0,0.0,1.0,15.0,8.0,1.0
ARID1A,14.0,1.0,14.0,19.0,924.0,95.0,21.0,7.0,291.0,38.0,7.0,23.0,18.0,24.0,9.0,452.0,34.0,3.0,10.0,380.0,25.0,3.0
ARID1B,10.0,2.0,11.0,25.0,856.0,53.0,9.0,0.0,205.0,27.0,16.0,36.0,6.0,7.0,11.0,422.0,34.0,2.0,2.0,272.0,22.0,13.0
ARID2,10.0,3.0,7.0,6.0,780.0,95.0,17.0,2.0,187.0,32.0,9.0,17.0,8.0,15.0,10.0,541.0,36.0,5.0,2.0,210.0,28.0,6.0
ARID3A,3.0,0.0,1.0,2.0,320.0,10.0,4.0,2.0,18.0,4.0,4.0,7.0,2.0,3.0,1.0,126.0,3.0,5.0,2.0,34.0,2.0,6.0
ARID3B,1.0,0.0,0.0,2.0,14.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0
ARID3C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ARID4A,10.0,0.0,9.0,10.0,583.0,113.0,22.0,2.0,226.0,28.0,8.0,16.0,18.0,24.0,17.0,409.0,46.0,9.0,6.0,326.0,24.0,5.0
ARID4B,34.0,8.0,50.0,58.0,1647.0,153.0,61.0,2.0,758.0,71.0,23.0,85.0,50.0,76.0,26.0,1052.0,77.0,25.0,7.0,1136.0,70.0,38.0
ARID5A,10.0,0.0,9.0,8.0,1251.0,48.0,46.0,2.0,238.0,13.0,16.0,31.0,19.0,20.0,8.0,466.0,18.0,18.0,0.0,275.0,12.0,11.0
ARID5B,49.0,5.0,14.0,91.0,1824.0,486.0,26.0,6.0,867.0,122.0,3.0,43.0,44.0,52.0,133.0,987.0,185.0,6.0,31.0,834.0,109.0,2.0
ARIH1,11.0,3.0,14.0,28.0,1266.0,84.0,44.0,2.0,236.0,50.0,17.0,34.0,18.0,36.0,18.0,716.0,36.0,6.0,8.0,364.0,37.0,7.0
ARIH2,10.0,3.0,13.0,14.0,905.0,77.0,22.0,1.0,233.0,32.0,8.0,20.0,16.0,19.0,15.0,516.0,30.0,5.0,4.0,271.0,27.0,7.0
ARIH2OS,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ARL1,4.0,6.0,11.0,35.0,1229.0,71.0,5.0,7.0,130.0,101.0,5.0,17.0,42.0,34.0,29.0,651.0,43.0,0.0,21.0,152.0,49.0,4.0
ARL10,1.0,0.0,3.0,3.0,100.0,7.0,0.0,0.0,15.0,9.0,1.0,2.0,0.0,6.0,3.0,52.0,0.0,0.0,0.0,9.0,4.0,3.0
ARL11,7.0,4.0,4.0,4.0,1235.0,45.0,63.0,0.0,58.0,15.0,2.0,10.0,1.0,11.0,1.0,741.0,5.0,24.0,1.0,42.0,10.0,6.0
ARL13B,2.0,6.0,6.0,9.0,436.0,36.0,0.0,0.0,58.0,10.0,4.0,7.0,11.0,11.0,8.0,223.0,10.0,0.0,2.0,54.0,4.0,5.0
ARL14EP,6.0,1.0,8.0,17.0,406.0,32.0,0.0,0.0,113.0,18.0,8.0,13.0,4.0,10.0,9.0,189.0,16.0,0.0,3.0,122.0,25.0,10.0
ARL14EPL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL15,0.0,0.0,3.0,3.0,221.0,12.0,1.0,0.0,38.0,5.0,0.0,2.0,2.0,10.0,4.0,126.0,8.0,0.0,0.0,36.0,2.0,0.0
ARL16,0.0,1.0,4.0,3.0,140.0,2.0,1.0,0.0,26.0,8.0,2.0,3.0,1.0,1.0,2.0,67.0,6.0,0.0,2.0,39.0,4.0,1.0
ARL2,6.0,2.0,17.0,29.0,781.0,72.0,5.0,0.0,79.0,49.0,2.0,10.0,7.0,21.0,20.0,314.0,50.0,0.0,1.0,67.0,21.0,1.0
ARL2BP,13.0,6.0,24.0,18.0,1293.0,93.0,16.0,3.0,355.0,56.0,11.0,29.0,22.0,18.0,19.0,743.0,52.0,1.0,3.0,390.0,39.0,8.0
ARL3,1.0,3.0,10.0,20.0,346.0,20.0,6.0,1.0,195.0,29.0,3.0,3.0,13.0,8.0,18.0,122.0,4.0,0.0,5.0,180.0,17.0,0.0
ARL4A,1.0,1.0,7.0,2.0,39.0,9.0,0.0,0.0,48.0,2.0,2.0,3.0,8.0,7.0,3.0,27.0,8.0,0.0,1.0,53.0,2.0,0.0
ARL4C,6.0,13.0,33.0,55.0,8773.0,429.0,34.0,1.0,1208.0,175.0,101.0,20.0,53.0,68.0,3.0,4148.0,103.0,10.0,7.0,1343.0,124.0,69.0
ARL4D,4.0,0.0,2.0,26.0,72.0,9.0,0.0,0.0,11.0,8.0,0.0,10.0,4.0,7.0,17.0,30.0,3.0,0.0,1.0,16.0,5.0,0.0
ARL5A,19.0,2.0,21.0,14.0,2779.0,99.0,12.0,4.0,346.0,65.0,31.0,29.0,23.0,47.0,19.0,1531.0,51.0,3.0,11.0,519.0,46.0,16.0
ARL5B,22.0,3.0,26.0,38.0,4438.0,446.0,128.0,2.0,643.0,83.0,15.0,26.0,44.0,63.0,18.0,1814.0,189.0,29.0,4.0,847.0,102.0,10.0
ARL6,0.0,4.0,0.0,0.0,18.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,0.0,0.0,2.0,3.0,0.0
ARL6IP1,18.0,4.0,18.0,26.0,2039.0,154.0,18.0,2.0,413.0,70.0,34.0,40.0,42.0,40.0,7.0,1368.0,91.0,9.0,4.0,598.0,74.0,18.0
ARL6IP4,17.0,9.0,25.0,41.0,2639.0,242.0,11.0,7.0,378.0,103.0,13.0,27.0,37.0,28.0,23.0,1239.0,65.0,4.0,19.0,371.0,47.0,6.0
ARL6IP5,35.0,6.0,43.0,70.0,3658.0,386.0,36.0,7.0,1068.0,208.0,30.0,83.0,93.0,65.0,69.0,2288.0,203.0,9.0,34.0,1723.0,169.0,25.0
ARL6IP6,1.0,0.0,3.0,5.0,285.0,9.0,2.0,1.0,52.0,17.0,4.0,3.0,4.0,10.0,3.0,157.0,12.0,0.0,3.0,84.0,10.0,4.0
ARL8A,6.0,3.0,10.0,6.0,882.0,41.0,5.0,0.0,59.0,22.0,6.0,8.0,5.0,15.0,12.0,533.0,28.0,2.0,0.0,90.0,16.0,2.0
ARL8B,7.0,2.0,25.0,21.0,2865.0,82.0,57.0,1.0,166.0,74.0,9.0,15.0,23.0,37.0,15.0,1669.0,40.0,18.0,3.0,222.0,60.0,9.0
ARL9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
ARMC1,4.0,2.0,5.0,8.0,465.0,24.0,1.0,0.0,80.0,22.0,6.0,4.0,9.0,5.0,5.0,234.0,9.0,2.0,3.0,117.0,6.0,2.0
ARMC10,3.0,3.0,12.0,20.0,822.0,36.0,8.0,0.0,75.0,25.0,4.0,5.0,5.0,13.0,8.0,417.0,19.0,3.0,0.0,55.0,10.0,5.0
ARMC12,1.0,1.0,3.0,3.0,61.0,7.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,22.0,4.0,0.0,0.0,6.0,0.0,0.0
ARMC2,3.0,0.0,0.0,0.0,39.0,3.0,1.0,1.0,11.0,1.0,0.0,3.0,2.0,0.0,2.0,31.0,1.0,0.0,0.0,22.0,1.0,0.0
ARMC3,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARMC4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARMC5,1.0,3.0,3.0,2.0,177.0,23.0,2.0,0.0,65.0,10.0,3.0,4.0,10.0,7.0,0.0,120.0,13.0,1.0,0.0,83.0,9.0,1.0
ARMC6,0.0,3.0,5.0,5.0,149.0,19.0,0.0,1.0,34.0,16.0,2.0,4.0,0.0,5.0,4.0,83.0,6.0,0.0,0.0,33.0,6.0,1.0
ARMC7,1.0,0.0,0.0,1.0,33.0,5.0,2.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,39.0,1.0,0.0,1.0,9.0,0.0,0.0
ARMC8,5.0,0.0,7.0,3.0,591.0,53.0,2.0,3.0,115.0,21.0,2.0,11.0,6.0,7.0,6.0,283.0,19.0,2.0,1.0,102.0,14.0,11.0
ARMC9,0.0,3.0,0.0,1.0,24.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
ARMCX1,1.0,1.0,7.0,8.0,611.0,29.0,1.0,0.0,18.0,30.0,1.0,1.0,8.0,7.0,17.0,300.0,0.0,1.0,0.0,13.0,17.0,2.0
ARMCX2,1.0,0.0,5.0,12.0,193.0,12.0,3.0,0.0,16.0,7.0,0.0,4.0,11.0,7.0,16.0,72.0,0.0,0.0,0.0,29.0,11.0,2.0
ARMCX3,4.0,3.0,23.0,35.0,845.0,86.0,9.0,1.0,106.0,72.0,8.0,10.0,30.0,30.0,24.0,406.0,27.0,0.0,8.0,96.0,34.0,8.0
ARMCX4,0.0,0.0,2.0,1.0,84.0,1.0,0.0,0.0,39.0,0.0,0.0,9.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,32.0,1.0,0.0
ARMCX5,5.0,2.0,3.0,7.0,230.0,21.0,3.0,0.0,39.0,19.0,3.0,3.0,7.0,4.0,2.0,181.0,4.0,0.0,0.0,48.0,10.0,1.0
ARMT1,3.0,0.0,4.0,3.0,115.0,6.0,0.0,0.0,21.0,7.0,1.0,1.0,4.0,4.0,1.0,60.0,2.0,0.0,0.0,22.0,2.0,0.0
ARNT,0.0,0.0,3.0,11.0,236.0,16.0,3.0,0.0,45.0,7.0,1.0,6.0,4.0,5.0,8.0,126.0,8.0,1.0,3.0,64.0,7.0,0.0
ARNT2,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0
ARNTL,4.0,1.0,7.0,8.0,458.0,19.0,23.0,0.0,133.0,21.0,3.0,8.0,8.0,8.0,1.0,303.0,3.0,1.0,3.0,158.0,16.0,3.0
ARNTL2,0.0,0.0,3.0,6.0,40.0,1.0,0.0,0.0,6.0,34.0,0.0,0.0,5.0,3.0,1.0,10.0,2.0,0.0,1.0,12.0,9.0,0.0
ARPC1A,4.0,5.0,14.0,16.0,397.0,23.0,16.0,2.0,68.0,44.0,0.0,5.0,9.0,11.0,9.0,195.0,13.0,3.0,1.0,83.0,21.0,0.0
ARPC1B,95.0,14.0,164.0,170.0,20360.0,770.0,264.0,5.0,2335.0,362.0,134.0,125.0,145.0,201.0,56.0,7851.0,208.0,42.0,19.0,2141.0,237.0,82.0
ARPC2,205.0,34.0,271.0,286.0,29036.0,1642.0,579.0,22.0,4679.0,641.0,171.0,288.0,243.0,306.0,79.0,12277.0,473.0,101.0,82.0,4894.0,458.0,116.0
ARPC3,23.0,5.0,39.0,33.0,4597.0,211.0,94.0,7.0,544.0,114.0,44.0,56.0,47.0,52.0,7.0,2116.0,85.0,21.0,7.0,635.0,89.0,33.0
ARPC4,23.0,8.0,48.0,70.0,6738.0,302.0,112.0,1.0,694.0,134.0,57.0,56.0,62.0,67.0,21.0,3135.0,83.0,22.0,19.0,752.0,95.0,28.0
ARPC5,39.0,3.0,63.0,99.0,10209.0,464.0,130.0,7.0,963.0,219.0,57.0,63.0,99.0,107.0,28.0,4910.0,175.0,29.0,17.0,1158.0,139.0,50.0
ARPC5L,43.0,9.0,30.0,30.0,911.0,89.0,10.0,6.0,467.0,89.0,14.0,52.0,23.0,19.0,8.0,457.0,34.0,2.0,18.0,509.0,49.0,14.0
ARPIN,0.0,0.0,2.0,3.0,165.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,2.0,3.0,114.0,0.0,0.0,0.0,2.0,4.0,0.0
ARPP19,8.0,2.0,14.0,15.0,1178.0,84.0,7.0,2.0,292.0,54.0,14.0,27.0,19.0,28.0,9.0,615.0,40.0,1.0,5.0,316.0,48.0,7.0
ARPP21,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0
ARRB1,5.0,0.0,24.0,12.0,1782.0,92.0,14.0,1.0,58.0,28.0,14.0,5.0,10.0,42.0,5.0,907.0,28.0,3.0,0.0,45.0,23.0,11.0
ARRB2,7.0,5.0,9.0,11.0,1388.0,67.0,48.0,0.0,408.0,24.0,12.0,13.0,29.0,8.0,3.0,784.0,21.0,9.0,4.0,608.0,36.0,6.0
ARRDC1,1.0,2.0,3.0,5.0,406.0,26.0,3.0,0.0,48.0,22.0,4.0,3.0,5.0,9.0,5.0,200.0,19.0,1.0,1.0,89.0,18.0,1.0
ARRDC2,13.0,1.0,14.0,7.0,926.0,62.0,116.0,1.0,433.0,19.0,11.0,31.0,25.0,19.0,2.0,595.0,20.0,38.0,1.0,533.0,32.0,5.0
ARRDC3,7.0,7.0,38.0,19.0,492.0,19.0,12.0,2.0,159.0,61.0,1.0,13.0,34.0,34.0,14.0,289.0,7.0,4.0,6.0,163.0,37.0,2.0
ARRDC4,0.0,2.0,4.0,8.0,1063.0,32.0,38.0,0.0,18.0,17.0,5.0,0.0,6.0,5.0,6.0,494.0,16.0,13.0,0.0,7.0,14.0,1.0
ARRDC5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
ARSA,2.0,1.0,3.0,7.0,479.0,24.0,0.0,0.0,33.0,17.0,2.0,4.0,7.0,9.0,11.0,472.0,9.0,2.0,4.0,48.0,11.0,1.0
ARSB,0.0,0.0,8.0,16.0,549.0,33.0,8.0,1.0,35.0,8.0,3.0,5.0,5.0,11.0,5.0,315.0,8.0,6.0,6.0,38.0,9.0,3.0
ARSD,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
ARSE,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSG,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,19.0,1.0,0.0
ARSI,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ARSJ,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,1.0,126.0,0.0,0.0,1.0,1.0,3.0,48.0,0.0,0.0,0.0,2.0,44.0,0.0
ARSK,0.0,0.0,3.0,1.0,32.0,4.0,0.0,0.0,6.0,4.0,0.0,1.0,1.0,4.0,4.0,38.0,2.0,0.0,0.0,13.0,2.0,0.0
ART3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ART4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARV1,0.0,1.0,4.0,5.0,267.0,35.0,5.0,2.0,59.0,22.0,3.0,2.0,4.0,13.0,7.0,174.0,12.0,2.0,2.0,68.0,10.0,1.0
ARVCF,3.0,1.0,1.0,2.0,46.0,4.0,0.0,0.0,29.0,4.0,4.0,1.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,21.0,2.0,0.0
ARX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AS3MT,0.0,0.0,0.0,1.0,14.0,2.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ASAH1,1.0,3.0,29.0,24.0,5244.0,84.0,33.0,0.0,68.0,136.0,1.0,7.0,29.0,72.0,11.0,3226.0,19.0,15.0,1.0,61.0,108.0,0.0
ASAH2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAP1,11.0,0.0,9.0,21.0,1229.0,35.0,8.0,1.0,180.0,9.0,6.0,8.0,14.0,20.0,6.0,722.0,25.0,10.0,2.0,199.0,16.0,0.0
ASAP2,0.0,0.0,8.0,7.0,251.0,52.0,0.0,0.0,5.0,39.0,4.0,0.0,1.0,11.0,5.0,138.0,24.0,0.0,0.0,3.0,10.0,7.0
ASAP3,0.0,0.0,0.0,1.0,35.0,1.0,0.0,0.0,4.0,8.0,0.0,1.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,8.0,1.0
ASB1,7.0,1.0,3.0,4.0,158.0,16.0,2.0,0.0,65.0,4.0,2.0,5.0,2.0,2.0,2.0,63.0,8.0,1.0,0.0,66.0,14.0,0.0
ASB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB13,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB2,0.0,3.0,0.0,1.0,82.0,4.0,0.0,0.0,45.0,2.0,1.0,0.0,3.0,0.0,1.0,37.0,1.0,0.0,0.0,37.0,1.0,0.0
ASB3,1.0,3.0,5.0,3.0,155.0,12.0,2.0,0.0,28.0,9.0,0.0,1.0,7.0,3.0,1.0,81.0,7.0,0.0,0.0,43.0,3.0,0.0
ASB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB5,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
ASB6,4.0,0.0,11.0,4.0,311.0,18.0,1.0,0.0,123.0,15.0,6.0,9.0,8.0,5.0,4.0,148.0,9.0,0.0,0.0,115.0,15.0,5.0
ASB7,2.0,1.0,6.0,1.0,103.0,6.0,2.0,0.0,52.0,7.0,2.0,3.0,3.0,1.0,3.0,55.0,2.0,0.0,1.0,41.0,4.0,0.0
ASB8,8.0,2.0,10.0,12.0,682.0,49.0,5.0,2.0,300.0,31.0,6.0,19.0,13.0,12.0,6.0,336.0,20.0,4.0,4.0,382.0,26.0,2.0
ASB9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ASCC1,2.0,1.0,5.0,12.0,229.0,17.0,4.0,0.0,45.0,13.0,3.0,1.0,4.0,7.0,1.0,158.0,11.0,0.0,0.0,69.0,10.0,0.0
ASCC2,9.0,4.0,5.0,22.0,1172.0,68.0,22.0,1.0,176.0,58.0,16.0,13.0,13.0,17.0,18.0,551.0,25.0,6.0,4.0,207.0,23.0,5.0
ASCC3,10.0,1.0,17.0,29.0,1272.0,99.0,9.0,2.0,235.0,87.0,11.0,18.0,19.0,21.0,16.0,706.0,39.0,4.0,9.0,275.0,35.0,14.0
ASCL2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASF1A,7.0,0.0,0.0,4.0,191.0,15.0,1.0,1.0,84.0,17.0,5.0,13.0,6.0,5.0,3.0,90.0,7.0,3.0,0.0,119.0,9.0,9.0
ASF1B,1.0,1.0,2.0,0.0,342.0,22.0,5.0,0.0,64.0,10.0,1.0,7.0,1.0,2.0,0.0,96.0,7.0,1.0,1.0,69.0,1.0,0.0
ASGR1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
ASH1L,22.0,6.0,31.0,34.0,1425.0,132.0,43.0,2.0,346.0,89.0,18.0,31.0,38.0,62.0,29.0,816.0,56.0,14.0,11.0,385.0,76.0,7.0
ASH2L,5.0,0.0,10.0,9.0,472.0,36.0,5.0,0.0,81.0,25.0,5.0,5.0,12.0,12.0,14.0,208.0,16.0,0.0,2.0,88.0,21.0,2.0
ASIC1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIC2,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ASIC3,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
ASIP,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASL,2.0,0.0,8.0,12.0,551.0,46.0,5.0,0.0,92.0,42.0,0.0,3.0,12.0,10.0,1.0,192.0,12.0,0.0,1.0,70.0,12.0,0.0
ASNA1,2.0,4.0,3.0,6.0,702.0,47.0,2.0,1.0,96.0,28.0,4.0,7.0,5.0,19.0,8.0,340.0,9.0,0.0,3.0,142.0,17.0,1.0
ASNS,0.0,0.0,0.0,1.0,30.0,3.0,1.0,1.0,19.0,25.0,0.0,0.0,5.0,7.0,0.0,11.0,0.0,0.0,5.0,49.0,13.0,1.0
ASNSD1,3.0,2.0,7.0,16.0,391.0,33.0,8.0,1.0,120.0,27.0,6.0,11.0,11.0,8.0,10.0,208.0,9.0,1.0,4.0,137.0,10.0,2.0
ASPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPH,4.0,3.0,24.0,47.0,1106.0,59.0,16.0,1.0,70.0,146.0,4.0,12.0,45.0,26.0,57.0,528.0,16.0,4.0,9.0,60.0,84.0,5.0
ASPHD2,2.0,0.0,0.0,1.0,316.0,43.0,9.0,0.0,16.0,6.0,2.0,0.0,7.0,9.0,0.0,124.0,15.0,6.0,0.0,23.0,1.0,0.0
ASPM,0.0,0.0,4.0,15.0,76.0,90.0,1.0,2.0,221.0,28.0,0.0,1.0,29.0,0.0,0.0,48.0,38.0,0.0,1.0,282.0,6.0,0.0
ASPSCR1,4.0,1.0,5.0,3.0,372.0,26.0,6.0,2.0,53.0,22.0,5.0,8.0,9.0,5.0,2.0,177.0,13.0,0.0,5.0,58.0,14.0,5.0
ASRGL1,5.0,0.0,25.0,9.0,282.0,74.0,1.0,0.0,18.0,13.0,0.0,6.0,4.0,19.0,16.0,199.0,11.0,5.0,4.0,20.0,15.0,0.0
ASS1,0.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
ASTE1,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,6.0,1.0,1.0
ASTL,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
ASTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTN2,0.0,0.0,1.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,6.0,0.0,0.0,0.0,1.0,0.0
