Gene stable ID	HGNC symbol	Gene type	UniProtKB Gene Name symbol	Gene name
ENSMMUG00000011111		protein_coding	IBSP	IBSP
ENSMMUG00000050549	LOXL2	protein_coding	LOXL2	LOXL2
ENSMMUG00000063453		protein_coding		
ENSMMUG00000009171		protein_coding	KCNIP1	KCNIP1
ENSMMUG00000009171		protein_coding	KCNIP1	KCNIP1
ENSMMUG00000009171		protein_coding	KCNIP1	KCNIP1
ENSMMUG00000009171		protein_coding	KCNIP1	KCNIP1
ENSMMUG00000060260		protein_coding		
ENSMMUG00000026873	MIR378A	miRNA		MIR378A
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000001012		protein_coding	PLCB4	PLCB4
ENSMMUG00000009796		protein_coding	NKX3-1	NKX3-1
ENSMMUG00000061904		protein_coding	LOC706794	
ENSMMUG00000022673		protein_coding	ZDHHC19	ZDHHC19
ENSMMUG00000022673		protein_coding	ZDHHC19	ZDHHC19
ENSMMUG00000062151		misc_RNA		Metazoa_SRP
ENSMMUG00000058930		protein_coding	SYCE3	SYCE3
ENSMMUG00000061387		pseudogene		
ENSMMUG00000028568		miRNA		mml-mir-147b
ENSMMUG00000031026		protein_coding	CACNG2	CACNG2
ENSMMUG00000065198		protein_coding	GDF6	GDF6
ENSMMUG00000039079		pseudogene		
ENSMMUG00000023558		protein_coding	EXOC2	EXOC2
ENSMMUG00000023558		protein_coding	EXOC2	EXOC2
ENSMMUG00000023558		protein_coding	EXOC2	EXOC2
ENSMMUG00000041045		misc_RNA		Metazoa_SRP
ENSMMUG00000060733		lncRNA		
ENSMMUG00000055049		snRNA		U7
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000000246		protein_coding	COBL	COBL
ENSMMUG00000049320		lncRNA		
ENSMMUG00000062624		lncRNA		
ENSMMUG00000055054		miRNA		mml-mir-604
ENSMMUG00000050724		lncRNA		
ENSMMUG00000011361		protein_coding	DAZL	DAZL
ENSMMUG00000011361		protein_coding	DAZL	DAZL
ENSMMUG00000011110		protein_coding	MEPE	MEPE
ENSMMUG00000027072	MIR151A	miRNA		MIR151A
ENSMMUG00000062743		protein_coding		
ENSMMUG00000053108		misc_RNA		Metazoa_SRP
ENSMMUG00000004752		protein_coding	PDE6A	PDE6A
ENSMMUG00000039452		protein_coding	ODF3B	ODF3B
ENSMMUG00000039452		protein_coding	ODF3B	ODF3B
ENSMMUG00000042504		protein_coding	APOBEC3A	APOBEC3A
ENSMMUG00000042504		protein_coding	APOBEC3A	APOBEC3A
ENSMMUG00000042504		protein_coding	APOBEC3A	APOBEC3A
ENSMMUG00000011560		protein_coding	STARD5	STARD5
ENSMMUG00000011560		protein_coding	STARD5	STARD5
ENSMMUG00000011510		protein_coding	SLC30A4	SLC30A4
ENSMMUG00000004404		protein_coding	RBMS3	RBMS3
ENSMMUG00000004404		protein_coding	RBMS3	RBMS3
ENSMMUG00000004404		protein_coding	RBMS3	RBMS3
ENSMMUG00000004404		protein_coding	RBMS3	RBMS3
ENSMMUG00000004404		protein_coding	RBMS3	RBMS3
ENSMMUG00000026761		snoRNA		SNORD115
ENSMMUG00000057174		protein_coding		
ENSMMUG00000058812		misc_RNA		Metazoa_SRP
ENSMMUG00000018402		protein_coding	TRAPPC14	TRAPPC14
ENSMMUG00000060038		pseudogene		
ENSMMUG00000003925		protein_coding	CCDC7	CCDC7
ENSMMUG00000003925		protein_coding	CCDC7	CCDC7
ENSMMUG00000008804		protein_coding	UQCRB	UQCRB
ENSMMUG00000008804		protein_coding	UQCRB	UQCRB
ENSMMUG00000057185		miRNA		mml-mir-938
ENSMMUG00000059137		lncRNA		
ENSMMUG00000018802		protein_coding	TMEM81	TMEM81
ENSMMUG00000064840		lncRNA		
ENSMMUG00000058934		protein_coding		
ENSMMUG00000060715		lncRNA		
ENSMMUG00000050994		lncRNA		
ENSMMUG00000062282		lncRNA		
ENSMMUG00000012754		protein_coding	EIF3D	EIF3D
ENSMMUG00000034830		Y_RNA		Y_RNA
ENSMMUG00000049605		lncRNA		
ENSMMUG00000063473		misc_RNA		Metazoa_SRP
ENSMMUG00000052126		snoRNA		
ENSMMUG00000059787		protein_coding		
ENSMMUG00000050047		misc_RNA		Metazoa_SRP
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000013404		protein_coding	SEC14L2	SEC14L2
ENSMMUG00000062148		lncRNA		
ENSMMUG00000008793		protein_coding	SPP1	SPP1
ENSMMUG00000049265		misc_RNA		Metazoa_SRP
ENSMMUG00000015771	FGF8	protein_coding	FGF8	FGF8
ENSMMUG00000059040		lncRNA		
ENSMMUG00000034383		snRNA		U6
ENSMMUG00000005749		protein_coding	PARP16	PARP16
ENSMMUG00000007478		protein_coding	TNKS2	TNKS2
ENSMMUG00000007478		protein_coding	TNKS2	TNKS2
ENSMMUG00000007478		protein_coding	TNKS2	TNKS2
ENSMMUG00000007478		protein_coding	TNKS2	TNKS2
ENSMMUG00000062254		lncRNA		
ENSMMUG00000056061		misc_RNA		Metazoa_SRP
ENSMMUG00000028237	SNORA24B	snoRNA		SNORA24B
ENSMMUG00000021444		protein_coding	FOXG1	FOXG1
ENSMMUG00000017659		protein_coding	FBLN2	FBLN2
ENSMMUG00000017659		protein_coding	FBLN2	FBLN2
ENSMMUG00000008808		protein_coding	MTERF3	MTERF3
ENSMMUG00000008808		protein_coding	MTERF3	MTERF3
ENSMMUG00000056157		lncRNA		
ENSMMUG00000024944	SNORA41B	snoRNA		SNORA41B
ENSMMUG00000018551		protein_coding	ANGEL1	ANGEL1
ENSMMUG00000018551		protein_coding	ANGEL1	ANGEL1
ENSMMUG00000018551		protein_coding	ANGEL1	ANGEL1
ENSMMUG00000033674		snRNA		
ENSMMUG00000013803		protein_coding	TYRO3	TYRO3
ENSMMUG00000013803		protein_coding	TYRO3	TYRO3
ENSMMUG00000013803		protein_coding	TYRO3	TYRO3
ENSMMUG00000038390		protein_coding		
ENSMMUG00000028536		snRNA		U5
ENSMMUG00000041800		protein_coding	FHIP1A	FHIP1A
ENSMMUG00000041800		protein_coding	FHIP1A	FHIP1A
ENSMMUG00000041800		protein_coding	FHIP1A	FHIP1A
ENSMMUG00000041800		protein_coding	FHIP1A	FHIP1A
ENSMMUG00000037313		Y_RNA		Y_RNA
ENSMMUG00000016658		protein_coding	ENTPD4	ENTPD4
ENSMMUG00000016658		protein_coding	ENTPD4	ENTPD4
ENSMMUG00000016658		protein_coding	ENTPD4	ENTPD4
ENSMMUG00000022674		protein_coding	SLC51A	SLC51A
ENSMMUG00000022674		protein_coding	SLC51A	SLC51A
ENSMMUG00000048730		snRNA		U5
ENSMMUG00000028276		snRNA		U6
ENSMMUG00000042159		misc_RNA		Metazoa_SRP
ENSMMUG00000022733		protein_coding	LOC707197	
ENSMMUG00000022733		protein_coding	LOC707197	
ENSMMUG00000058832		lncRNA		
ENSMMUG00000054782		lncRNA		
ENSMMUG00000044393		protein_coding		
ENSMMUG00000057724		Y_RNA		Y_RNA
ENSMMUG00000062076		Y_RNA		Y_RNA
ENSMMUG00000058877		lncRNA		
ENSMMUG00000053778		lncRNA		
ENSMMUG00000013578		protein_coding	DENND3	DENND3
ENSMMUG00000013578		protein_coding	DENND3	DENND3
ENSMMUG00000013578		protein_coding	DENND3	DENND3
ENSMMUG00000011564		protein_coding	TMC3	TMC3
ENSMMUG00000050004		misc_RNA		Metazoa_SRP
ENSMMUG00000004449		protein_coding	BLOC1S6	BLOC1S6
ENSMMUG00000004449		protein_coding	BLOC1S6	BLOC1S6
ENSMMUG00000004449		protein_coding	BLOC1S6	BLOC1S6
ENSMMUG00000021783		protein_coding	IGDCC3	IGDCC3
ENSMMUG00000061467		pseudogene		
ENSMMUG00000029776		protein_coding	SLC26A2	SLC26A2
ENSMMUG00000029776		protein_coding	SLC26A2	SLC26A2
ENSMMUG00000018803		protein_coding	RBBP5	RBBP5
ENSMMUG00000018803		protein_coding	RBBP5	RBBP5
ENSMMUG00000018803		protein_coding	RBBP5	RBBP5
ENSMMUG00000001035		protein_coding	PRMT5	PRMT5
ENSMMUG00000001035		protein_coding	PRMT5	PRMT5
ENSMMUG00000001035		protein_coding	PRMT5	PRMT5
ENSMMUG00000001035		protein_coding	PRMT5	PRMT5
ENSMMUG00000001764		protein_coding	LOC716161	
ENSMMUG00000001764		protein_coding	LOC716161	
ENSMMUG00000001764		protein_coding	LOC716161	
ENSMMUG00000001764		protein_coding	LOC716161	
ENSMMUG00000001764		protein_coding	LOC716161	
ENSMMUG00000059729		lncRNA		
ENSMMUG00000036435		snRNA		U6
ENSMMUG00000053653		misc_RNA		Metazoa_SRP
ENSMMUG00000026128		snRNA		U1
ENSMMUG00000049502		lncRNA		
ENSMMUG00000050889		protein_coding	FXYD4	FXYD4
ENSMMUG00000012751		protein_coding	FOXRED2	FOXRED2
ENSMMUG00000012751		protein_coding	FOXRED2	FOXRED2
ENSMMUG00000059935		misc_RNA		Metazoa_SRP
ENSMMUG00000058433		lncRNA		
ENSMMUG00000038815		protein_coding		
ENSMMUG00000051820		misc_RNA		Metazoa_SRP
ENSMMUG00000054182		snRNA		U6
ENSMMUG00000057906		lncRNA		
ENSMMUG00000053013		protein_coding		
ENSMMUG00000057723		lncRNA		
ENSMMUG00000034274	RNU11-5P	snRNA		RNU11-5P
ENSMMUG00000051392		protein_coding	HMGN2	
ENSMMUG00000021559		protein_coding	JCAD	JCAD
ENSMMUG00000048395	CBX6	protein_coding	CBX6	CBX6
ENSMMUG00000059627		lncRNA		
ENSMMUG00000062356		protein_coding		
ENSMMUG00000043272		snRNA		U2
ENSMMUG00000060334		protein_coding		
ENSMMUG00000000570		protein_coding	GABRP	GABRP
ENSMMUG00000000570		protein_coding	GABRP	GABRP
ENSMMUG00000008795		protein_coding	PKD2	PKD2
ENSMMUG00000008795		protein_coding	PKD2	PKD2
ENSMMUG00000008795		protein_coding	PKD2	PKD2
ENSMMUG00000063495		protein_coding		
ENSMMUG00000056030		misc_RNA		Metazoa_SRP
ENSMMUG00000061283		protein_coding		
ENSMMUG00000060017		misc_RNA		Metazoa_SRP
ENSMMUG00000022694		protein_coding	RFTN1	RFTN1
ENSMMUG00000018404		protein_coding	GAL3ST4	GAL3ST4
ENSMMUG00000018404		protein_coding	GAL3ST4	GAL3ST4
ENSMMUG00000064893		protein_coding		
ENSMMUG00000052644		protein_coding		
ENSMMUG00000058008		lncRNA		
ENSMMUG00000056086		lncRNA		
ENSMMUG00000015749		protein_coding	SQOR	SQOR
ENSMMUG00000000573		protein_coding	PTDSS1	PTDSS1
ENSMMUG00000000573		protein_coding	PTDSS1	PTDSS1
ENSMMUG00000051184		misc_RNA		Metazoa_SRP
ENSMMUG00000049357		protein_coding	COX19	COX19
ENSMMUG00000049712		lncRNA		
ENSMMUG00000056141		protein_coding		
ENSMMUG00000054581		lncRNA		
ENSMMUG00000060372		pseudogene		
ENSMMUG00000046799		pseudogene		
ENSMMUG00000050731		protein_coding		
ENSMMUG00000048332		lncRNA		
ENSMMUG00000065337		lncRNA		
ENSMMUG00000017419		protein_coding	ASCL5	ASCL5
ENSMMUG00000023084		protein_coding	IL12A	IL12A
ENSMMUG00000001835		protein_coding	ISLR2	ISLR2
ENSMMUG00000001835		protein_coding	ISLR2	ISLR2
ENSMMUG00000031300	TXN2	protein_coding	TXN2	TXN2
ENSMMUG00000031300	TXN2	protein_coding	TXN2	TXN2
ENSMMUG00000031300	TXN2	protein_coding	TXN2	TXN2
ENSMMUG00000022426		protein_coding	DHDDS	DHDDS
ENSMMUG00000055433		lncRNA		
ENSMMUG00000011553		protein_coding	TIGD6	TIGD6
ENSMMUG00000050051		protein_coding		
ENSMMUG00000050093		lncRNA		
ENSMMUG00000022550		protein_coding	PRKD1	PRKD1
ENSMMUG00000022550		protein_coding	PRKD1	PRKD1
ENSMMUG00000022550		protein_coding	PRKD1	PRKD1
ENSMMUG00000020982		protein_coding	HNRNPF	HNRNPF
ENSMMUG00000013414		protein_coding	WFS1	WFS1
ENSMMUG00000026031		snRNA		U6
ENSMMUG00000007204		protein_coding	CYP2W1	CYP2W1
ENSMMUG00000058932		lncRNA		
ENSMMUG00000051245		lncRNA		
ENSMMUG00000020931		protein_coding	ABHD18	ABHD18
ENSMMUG00000020931		protein_coding	ABHD18	ABHD18
ENSMMUG00000020931		protein_coding	ABHD18	ABHD18
ENSMMUG00000054608		protein_coding		
ENSMMUG00000048816		protein_coding	HAND2	HAND2
ENSMMUG00000020550		protein_coding	MAP4K5	MAP4K5
ENSMMUG00000020550		protein_coding	MAP4K5	MAP4K5
ENSMMUG00000020550		protein_coding	MAP4K5	MAP4K5
ENSMMUG00000038443		protein_coding		
ENSMMUG00000050202		Y_RNA		Y_RNA
ENSMMUG00000055840		lncRNA		
ENSMMUG00000023562		pseudogene		HUS1B
ENSMMUG00000003001		protein_coding	MTPAP	MTPAP
ENSMMUG00000021788		protein_coding	IGDCC4	IGDCC4
ENSMMUG00000059680		misc_RNA		Metazoa_SRP
ENSMMUG00000034105		snRNA		
ENSMMUG00000010168		protein_coding	MGA	MGA
ENSMMUG00000061125		protein_coding	LOC114678757	
ENSMMUG00000011554		protein_coding	HMGXB3	HMGXB3
ENSMMUG00000011554		protein_coding	HMGXB3	HMGXB3
ENSMMUG00000007215		protein_coding	XBP1	XBP1
ENSMMUG00000015002		protein_coding	CHD8	CHD8
ENSMMUG00000015002		protein_coding	CHD8	CHD8
ENSMMUG00000015002		protein_coding	CHD8	CHD8
ENSMMUG00000015002		protein_coding	CHD8	CHD8
ENSMMUG00000056709		protein_coding		
ENSMMUG00000050732		protein_coding	GPC2	GPC2
ENSMMUG00000001836		protein_coding	ISLR	ISLR
ENSMMUG00000001836		protein_coding	ISLR	ISLR
ENSMMUG00000007045		protein_coding	WIPI2	WIPI2
ENSMMUG00000007045		protein_coding	WIPI2	WIPI2
ENSMMUG00000007045		protein_coding	WIPI2	WIPI2
ENSMMUG00000007045		protein_coding	WIPI2	WIPI2
ENSMMUG00000018639		protein_coding	MEX3B	MEX3B
ENSMMUG00000060895		protein_coding		
ENSMMUG00000004869		protein_coding	NPTXR	NPTXR
ENSMMUG00000004869		protein_coding	NPTXR	NPTXR
ENSMMUG00000055245		misc_RNA		Metazoa_SRP
ENSMMUG00000026703		snRNA		U6
ENSMMUG00000033023		snRNA		U6
ENSMMUG00000058588		protein_coding		
ENSMMUG00000015840		protein_coding	RANBP17	RANBP17
ENSMMUG00000053745		protein_coding		
ENSMMUG00000013500		protein_coding	TMEM9	TMEM9
ENSMMUG00000056995		lncRNA		
ENSMMUG00000064097		misc_RNA		Metazoa_SRP
ENSMMUG00000001301		protein_coding	OR8K1	OR8K1
ENSMMUG00000000963		protein_coding	SDC2	SDC2
ENSMMUG00000023342		protein_coding	PAG1	PAG1
ENSMMUG00000023342		protein_coding	PAG1	PAG1
ENSMMUG00000054392	ZNF239	protein_coding	ZNF239	ZNF239
ENSMMUG00000054392	ZNF239	protein_coding	ZNF239	ZNF239
ENSMMUG00000065226		lncRNA		
ENSMMUG00000042698		protein_coding	FGL1	FGL1
ENSMMUG00000061354		pseudogene		
ENSMMUG00000001763		protein_coding	NCAPH2	NCAPH2
ENSMMUG00000001763		protein_coding	NCAPH2	NCAPH2
ENSMMUG00000001763		protein_coding	NCAPH2	NCAPH2
ENSMMUG00000049551		lncRNA		
ENSMMUG00000054756		lncRNA		
ENSMMUG00000004868		protein_coding	DNAL4	DNAL4
ENSMMUG00000055972		lncRNA		
ENSMMUG00000018513		protein_coding	IRF4	IRF4
ENSMMUG00000018513		protein_coding	IRF4	IRF4
ENSMMUG00000050874		lncRNA		
ENSMMUG00000054404		protein_coding	SLC25A37	SLC25A37
ENSMMUG00000038924		protein_coding	PCYT1A	PCYT1A
ENSMMUG00000054962		lncRNA		
ENSMMUG00000060723		misc_RNA		Metazoa_SRP
ENSMMUG00000015092		protein_coding	CDH12	CDH12
ENSMMUG00000015092		protein_coding	CDH12	CDH12
ENSMMUG00000056853		misc_RNA		Metazoa_SRP
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000019488		protein_coding	TNNI3K	FPGT
ENSMMUG00000053198		protein_coding	CCDC117	CCDC117
ENSMMUG00000049513		snoRNA		
ENSMMUG00000035838		Y_RNA		Y_RNA
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000007206		protein_coding	C3H7orf50	C3H7orf50
ENSMMUG00000018445		protein_coding	WNT7A	WNT7A
ENSMMUG00000024461		snoRNA		
ENSMMUG00000001837		protein_coding	STRA6	STRA6
ENSMMUG00000001837		protein_coding	STRA6	STRA6
ENSMMUG00000001837		protein_coding	STRA6	STRA6
ENSMMUG00000064426		protein_coding		
ENSMMUG00000003878		protein_coding	CPQ	CPQ
ENSMMUG00000062036		Y_RNA		Y_RNA
ENSMMUG00000056116		lncRNA		
ENSMMUG00000064264		pseudogene		
ENSMMUG00000031449		protein_coding	ZCWPW2	ZCWPW2
ENSMMUG00000058091		protein_coding		
ENSMMUG00000023353		protein_coding	EFL1	EFL1
ENSMMUG00000023353		protein_coding	EFL1	EFL1
ENSMMUG00000023353		protein_coding	EFL1	EFL1
ENSMMUG00000059602		lncRNA		
ENSMMUG00000060166		lncRNA		
ENSMMUG00000033563		snoRNA		U3
ENSMMUG00000022693		protein_coding	OXNAD1	OXNAD1
ENSMMUG00000022693		protein_coding	OXNAD1	OXNAD1
ENSMMUG00000022693		protein_coding	OXNAD1	OXNAD1
ENSMMUG00000022693		protein_coding	OXNAD1	OXNAD1
ENSMMUG00000058136		misc_RNA		Metazoa_SRP
ENSMMUG00000000755		protein_coding	CYP21A2	CYP21A2
ENSMMUG00000000755		protein_coding	CYP21A2	CYP21A2
ENSMMUG00000009206		protein_coding	KIN	KIN
ENSMMUG00000009206		protein_coding	KIN	KIN
ENSMMUG00000011048		protein_coding	GATB	GATB
ENSMMUG00000011048		protein_coding	GATB	GATB
ENSMMUG00000064126	DYNLT2B	protein_coding	DYNLT2B	DYNLT2B
ENSMMUG00000064126	DYNLT2B	protein_coding	DYNLT2B	DYNLT2B
ENSMMUG00000044156		snoRNA		SNORD36
ENSMMUG00000050016		protein_coding		
ENSMMUG00000055712		misc_RNA		Metazoa_SRP
ENSMMUG00000058488		processed_pseudogene		
ENSMMUG00000058134		protein_coding		
ENSMMUG00000020489		protein_coding	HSCB	HSCB
ENSMMUG00000049957		lncRNA		
ENSMMUG00000013579		protein_coding	SLC45A4	SLC45A4
ENSMMUG00000013579		protein_coding	SLC45A4	SLC45A4
ENSMMUG00000013579		protein_coding	SLC45A4	SLC45A4
ENSMMUG00000056767		protein_coding		
ENSMMUG00000010297		protein_coding	CTTNBP2	CTTNBP2
ENSMMUG00000010297		protein_coding	CTTNBP2	CTTNBP2
ENSMMUG00000010297		protein_coding	CTTNBP2	CTTNBP2
ENSMMUG00000022904		protein_coding	LRRC74A	LRRC74A
ENSMMUG00000022904		protein_coding	LRRC74A	LRRC74A
ENSMMUG00000050447		protein_coding		
ENSMMUG00000046970		misc_RNA		Metazoa_SRP
ENSMMUG00000018514		protein_coding	DUSP22	DUSP22
ENSMMUG00000018514		protein_coding	DUSP22	DUSP22
ENSMMUG00000057720		misc_RNA		Metazoa_SRP
ENSMMUG00000011556		protein_coding	CSF1R	CSF1R
ENSMMUG00000011556		protein_coding	CSF1R	CSF1R
ENSMMUG00000011556		protein_coding	CSF1R	CSF1R
ENSMMUG00000011556		protein_coding	CSF1R	CSF1R
ENSMMUG00000033505		miRNA		mml-mir-877
ENSMMUG00000017767		protein_coding	ITGB1	ITGB1
ENSMMUG00000017767		protein_coding	ITGB1	ITGB1
ENSMMUG00000017767		protein_coding	ITGB1	ITGB1
ENSMMUG00000060451		protein_coding		
ENSMMUG00000059105		protein_coding		
ENSMMUG00000059508		protein_coding	C2H3orf80	C2H3orf80
ENSMMUG00000021347		protein_coding	LARP1B	LARP1B
ENSMMUG00000021347		protein_coding	LARP1B	LARP1B
ENSMMUG00000035755		snoRNA		
ENSMMUG00000036229		snRNA		U7
ENSMMUG00000061192		protein_coding		
ENSMMUG00000019992		protein_coding	GRB10	GRB10
ENSMMUG00000019992		protein_coding	GRB10	GRB10
ENSMMUG00000019992		protein_coding	GRB10	GRB10
ENSMMUG00000008219		protein_coding	SLC29A4	SLC29A4
ENSMMUG00000008219		protein_coding	SLC29A4	SLC29A4
ENSMMUG00000008219		protein_coding	SLC29A4	SLC29A4
ENSMMUG00000055585		protein_coding		
ENSMMUG00000064260	ZNF487	protein_coding	ZNF487	ZNF487
ENSMMUG00000057846	TLX3	protein_coding	TLX3	TLX3
ENSMMUG00000056525		misc_RNA		Metazoa_SRP
ENSMMUG00000049753		misc_RNA		Metazoa_SRP
ENSMMUG00000052005		miRNA		mml-mir-626
ENSMMUG00000052766		processed_pseudogene		
ENSMMUG00000013893		protein_coding	PRR3	PRR3
ENSMMUG00000013893		protein_coding	PRR3	PRR3
ENSMMUG00000062721		protein_coding	TSPYL5	TSPYL5
ENSMMUG00000052233		protein_coding		
ENSMMUG00000061617		protein_coding		
ENSMMUG00000063204		protein_coding		
ENSMMUG00000007284		protein_coding	SUN2	SUN2
ENSMMUG00000007284		protein_coding	SUN2	SUN2
ENSMMUG00000056847		protein_coding		
ENSMMUG00000023125		protein_coding	XPC	XPC
ENSMMUG00000023125		protein_coding	XPC	XPC
ENSMMUG00000023125		protein_coding	XPC	XPC
ENSMMUG00000023125		protein_coding	XPC	XPC
ENSMMUG00000062796		misc_RNA		Metazoa_SRP
ENSMMUG00000054027		lncRNA		
ENSMMUG00000026681		snoRNA		U3
ENSMMUG00000047674		pseudogene		
ENSMMUG00000062128		protein_coding	SHH	SHH
ENSMMUG00000056310		protein_coding		
ENSMMUG00000017310		protein_coding	TM4SF19	TM4SF19
ENSMMUG00000000056		protein_coding	AZI2	AZI2
ENSMMUG00000063585		lncRNA		
ENSMMUG00000034752		snRNA		U6
ENSMMUG00000059451		lncRNA		
ENSMMUG00000055454		protein_coding		
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000015447		protein_coding	DPP8	DPP8
ENSMMUG00000049372		misc_RNA		Metazoa_SRP
ENSMMUG00000062723	PCDHB6	protein_coding	PCDHB6	PCDHB6
ENSMMUG00000060545		lncRNA		
ENSMMUG00000033642	MIR1306	miRNA		MIR1306
ENSMMUG00000053562		protein_coding		
ENSMMUG00000020486		protein_coding	CHEK2	CHEK2
ENSMMUG00000063511		lncRNA		
ENSMMUG00000052937		lncRNA		
ENSMMUG00000036036		snRNA		U6
ENSMMUG00000064899		lncRNA		
ENSMMUG00000027925		snoRNA		SNORA70
ENSMMUG00000039574		protein_coding		
ENSMMUG00000006101		protein_coding	MYH9	MYH9
ENSMMUG00000006101		protein_coding	MYH9	MYH9
ENSMMUG00000006101		protein_coding	MYH9	MYH9
ENSMMUG00000006101		protein_coding	MYH9	MYH9
ENSMMUG00000041635	MIR3618	miRNA		MIR3618
ENSMMUG00000054093		Y_RNA		Y_RNA
ENSMMUG00000004606		protein_coding	EML5	EML5
ENSMMUG00000004606		protein_coding	EML5	EML5
ENSMMUG00000004606		protein_coding	EML5	EML5
ENSMMUG00000004606		protein_coding	EML5	EML5
ENSMMUG00000064476		misc_RNA		Metazoa_SRP
ENSMMUG00000061790		protein_coding		
ENSMMUG00000057111		protein_coding		
ENSMMUG00000052546		protein_coding		
ENSMMUG00000053341		lncRNA		
ENSMMUG00000057870		misc_RNA		Metazoa_SRP
ENSMMUG00000060329		lncRNA		
ENSMMUG00000058834		lncRNA		
ENSMMUG00000058511		misc_RNA		Metazoa_SRP
ENSMMUG00000058583		protein_coding	REM1	REM1
ENSMMUG00000054827		snRNA		U6
ENSMMUG00000059233		lncRNA		
ENSMMUG00000049499		protein_coding	LOC723314	
ENSMMUG00000056828		protein_coding	PGRMC2	PGRMC2
ENSMMUG00000052521		pseudogene		
ENSMMUG00000056271		lncRNA		
ENSMMUG00000062130		protein_coding		
ENSMMUG00000017282		protein_coding	IFT80	IFT80
ENSMMUG00000017282		protein_coding	IFT80	IFT80
ENSMMUG00000017282		protein_coding	IFT80	IFT80
ENSMMUG00000020077		protein_coding	GNL1	GNL1
ENSMMUG00000020077		protein_coding	GNL1	GNL1
ENSMMUG00000018405		protein_coding	STAG3	STAG3
ENSMMUG00000018405		protein_coding	STAG3	STAG3
ENSMMUG00000018405		protein_coding	STAG3	STAG3
ENSMMUG00000018405		protein_coding	STAG3	STAG3
ENSMMUG00000018405		protein_coding	STAG3	STAG3
ENSMMUG00000060084		pseudogene		
ENSMMUG00000042819		protein_coding	RNF215	RNF215
ENSMMUG00000042819		protein_coding	RNF215	RNF215
ENSMMUG00000058695		protein_coding		
ENSMMUG00000061917		lncRNA		
ENSMMUG00000010478		protein_coding	DSTYK	DSTYK
ENSMMUG00000010478		protein_coding	DSTYK	DSTYK
ENSMMUG00000010478		protein_coding	DSTYK	DSTYK
ENSMMUG00000056162		lncRNA		
ENSMMUG00000046041		lncRNA		
ENSMMUG00000049586		protein_coding	GPR20	GPR20
ENSMMUG00000062346		protein_coding		
ENSMMUG00000013504		protein_coding	IGFN1	IGFN1
ENSMMUG00000020776		protein_coding	PRKCQ	PRKCQ
ENSMMUG00000020776		protein_coding	PRKCQ	PRKCQ
ENSMMUG00000013089		protein_coding	RNF111	RNF111
ENSMMUG00000013089		protein_coding	RNF111	RNF111
ENSMMUG00000013089		protein_coding	RNF111	RNF111
ENSMMUG00000064734		lncRNA		
ENSMMUG00000060363		Y_RNA		Y_RNA
ENSMMUG00000037415		snRNA		U6
ENSMMUG00000049765		protein_coding		
ENSMMUG00000048837		misc_RNA		Metazoa_SRP
ENSMMUG00000015781	NPM1	protein_coding	NPM1	NPM1
ENSMMUG00000015781	NPM1	protein_coding	NPM1	NPM1
