,title,geo_accession,source_name,organism,taxid,tissue,animal_id,pitt_id,vax_group,vax_dose,dose_group,time_after_bcg,total_mtb_cfu,log_mtb_cfu,grans_nx,protect_outcome,description
40,DFI0 AE pre,GSM6735610,Whole Blood,Macaca mulatta,9544,Whole Blood,DFI0,35316,AE,5.20E+07,high,pre,61549.0,4.789,60,not_protected,DFI0_21
41,DFI0 AE d2,GSM6735611,Whole Blood,Macaca mulatta,9544,Whole Blood,DFI0,35316,AE,5.20E+07,high,d2,61549.0,4.789,60,not_protected,DFI0_22
42,DFI0 AE wk2,GSM6735612,Whole Blood,Macaca mulatta,9544,Whole Blood,DFI0,35316,AE,5.20E+07,high,wk2,61549.0,4.789,60,not_protected,DFI0_23
43,DFI0 AE wk12,GSM6735613,Whole Blood,Macaca mulatta,9544,Whole Blood,DFI0,35316,AE,5.20E+07,high,wk12,61549.0,4.789,60,not_protected,DFI0_24
44,DFJ3 AE pre,GSM6735614,Whole Blood,Macaca mulatta,9544,Whole Blood,DFJ3,18617,AE,3.70E+07,high,pre,74120.0,4.87,10,not_protected,DFJ3_121
45,DFJ3 AE d2,GSM6735615,Whole Blood,Macaca mulatta,9544,Whole Blood,DFJ3,18617,AE,3.70E+07,high,d2,74120.0,4.87,10,not_protected,DFJ3_122
46,DFJ3 AE wk2,GSM6735616,Whole Blood,Macaca mulatta,9544,Whole Blood,DFJ3,18617,AE,3.70E+07,high,wk2,74120.0,4.87,10,not_protected,DFJ3_123
47,DFJ3 AE wk12,GSM6735617,Whole Blood,Macaca mulatta,9544,Whole Blood,DFJ3,18617,AE,3.70E+07,high,wk12,74120.0,4.87,10,not_protected,DFJ3_124
48,DFL6 ID/AE pre,GSM6735618,Whole Blood,Macaca mulatta,9544,Whole Blood,DFL6,18417,ID/AE,3.7E+07 / 3.1E+05,high,pre,3057750.0,6.485,60,not_protected,DFL6_129
49,DFL6 ID/AE d2,GSM6735619,Whole Blood,Macaca mulatta,9544,Whole Blood,DFL6,18417,ID/AE,3.7E+07 / 3.1E+05,high,d2,3057750.0,6.485,60,not_protected,DFL6_130
50,DFL6 ID/AE wk2,GSM6735620,Whole Blood,Macaca mulatta,9544,Whole Blood,DFL6,18417,ID/AE,3.7E+07 / 3.1E+05,high,wk2,3057750.0,6.485,60,not_protected,DFL6_131
51,DFL6 ID/AE wk12,GSM6735621,Whole Blood,Macaca mulatta,9544,Whole Blood,DFL6,18417,ID/AE,3.7E+07 / 3.1E+05,high,wk12,3057750.0,6.485,60,not_protected,DFL6_132
52,DFTA IV pre,GSM6735622,Whole Blood,Macaca mulatta,9544,Whole Blood,DFTA,13617,IV,3.70E+07,high,pre,0.0,0.0,0,protected,DFTA_85
53,DFTA IV d2,GSM6735623,Whole Blood,Macaca mulatta,9544,Whole Blood,DFTA,13617,IV,3.70E+07,high,d2,0.0,0.0,0,protected,DFTA_86
54,DFTA IV wk2,GSM6735624,Whole Blood,Macaca mulatta,9544,Whole Blood,DFTA,13617,IV,3.70E+07,high,wk2,0.0,0.0,0,protected,DFTA_87
55,DFTA IV wk12,GSM6735625,Whole Blood,Macaca mulatta,9544,Whole Blood,DFTA,13617,IV,3.70E+07,high,wk12,0.0,0.0,0,protected,DFTA_88
56,DFVJ ID pre,GSM6735626,Whole Blood,Macaca mulatta,9544,Whole Blood,DFVJ,35616,ID,3.50E+05,low,pre,19330.0,4.286,22,not_protected,DFVJ_1
57,DFVJ ID d2,GSM6735627,Whole Blood,Macaca mulatta,9544,Whole Blood,DFVJ,35616,ID,3.50E+05,low,d2,19330.0,4.286,22,not_protected,DFVJ_2
58,DFVJ ID wk2,GSM6735628,Whole Blood,Macaca mulatta,9544,Whole Blood,DFVJ,35616,ID,3.50E+05,low,wk2,19330.0,4.286,22,not_protected,DFVJ_3
59,DFVJ ID wk12,GSM6735629,Whole Blood,Macaca mulatta,9544,Whole Blood,DFVJ,35616,ID,3.50E+05,low,wk12,19330.0,4.286,22,not_protected,DFVJ_4
60,DFWG ID/AE pre,GSM6735630,Whole Blood,Macaca mulatta,9544,Whole Blood,DFWG,13817,ID/AE,3.7E+07 / 3.1E+05,high,pre,1123268.0,6.05,60,not_protected,DFWG_101
61,DFWG ID/AE d2,GSM6735631,Whole Blood,Macaca mulatta,9544,Whole Blood,DFWG,13817,ID/AE,3.7E+07 / 3.1E+05,high,d2,1123268.0,6.05,60,not_protected,DFWG_102
62,DFWG ID/AE wk2,GSM6735632,Whole Blood,Macaca mulatta,9544,Whole Blood,DFWG,13817,ID/AE,3.7E+07 / 3.1E+05,high,wk2,1123268.0,6.05,60,not_protected,DFWG_103
63,DFWG ID/AE wk12,GSM6735633,Whole Blood,Macaca mulatta,9544,Whole Blood,DFWG,13817,ID/AE,3.7E+07 / 3.1E+05,high,wk12,1123268.0,6.05,60,not_protected,DFWG_104
64,DFX6 AE pre,GSM6735634,Whole Blood,Macaca mulatta,9544,Whole Blood,DFX6,35016,AE,5.20E+07,high,pre,697082.0,5.843,17,not_protected,DFX6_5
65,DFX6 AE d2,GSM6735635,Whole Blood,Macaca mulatta,9544,Whole Blood,DFX6,35016,AE,5.20E+07,high,d2,697082.0,5.843,17,not_protected,DFX6_6
66,DFX6 AE wk2,GSM6735636,Whole Blood,Macaca mulatta,9544,Whole Blood,DFX6,35016,AE,5.20E+07,high,wk2,697082.0,5.843,17,not_protected,DFX6_7
67,DFX6 AE wk12,GSM6735637,Whole Blood,Macaca mulatta,9544,Whole Blood,DFX6,35016,AE,5.20E+07,high,wk12,697082.0,5.843,17,not_protected,DFX6_8
68,DFXH ID/AE pre,GSM6735638,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXH,36916,ID/AE,5.2E+07 / 3.5E+05,high,pre,86330.0,4.936,19,not_protected,DFXH_25
69,DFXH ID/AE d2,GSM6735639,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXH,36916,ID/AE,5.2E+07 / 3.5E+05,high,d2,86330.0,4.936,19,not_protected,DFXH_26
70,DFXH ID/AE wk2,GSM6735640,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXH,36916,ID/AE,5.2E+07 / 3.5E+05,high,wk2,86330.0,4.936,19,not_protected,DFXH_27
71,DFXH ID/AE wk12,GSM6735641,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXH,36916,ID/AE,5.2E+07 / 3.5E+05,high,wk12,86330.0,4.936,19,not_protected,DFXH_28
72,DFXL ID pre,GSM6735642,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXL,35916,ID,3.50E+05,low,pre,37530.0,4.574,22,not_protected,DFXL_17
73,DFXL ID d2,GSM6735643,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXL,35916,ID,3.50E+05,low,d2,37530.0,4.574,22,not_protected,DFXL_18
74,DFXL ID wk2,GSM6735644,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXL,35916,ID,3.50E+05,low,wk2,37530.0,4.574,22,not_protected,DFXL_19
75,DFXL ID wk12,GSM6735645,Whole Blood,Macaca mulatta,9544,Whole Blood,DFXL,35916,ID,3.50E+05,low,wk12,37530.0,4.574,22,not_protected,DFXL_20
76,DFZ4 ID pre,GSM6735646,Whole Blood,Macaca mulatta,9544,Whole Blood,DFZ4,12717,ID,3.10E+05,low,pre,116495.0,5.066,22,not_protected,DFZ4_93
77,DFZ4 ID d2,GSM6735647,Whole Blood,Macaca mulatta,9544,Whole Blood,DFZ4,12717,ID,3.10E+05,low,d2,116495.0,5.066,22,not_protected,DFZ4_94
78,DFZ4 ID wk2,GSM6735648,Whole Blood,Macaca mulatta,9544,Whole Blood,DFZ4,12717,ID,3.10E+05,low,wk2,116495.0,5.066,22,not_protected,DFZ4_95
79,DFZ4 ID wk12,GSM6735649,Whole Blood,Macaca mulatta,9544,Whole Blood,DFZ4,12717,ID,3.10E+05,low,wk12,116495.0,5.066,22,not_protected,DFZ4_96
80,DG02 HD-ID pre,GSM6735650,Whole Blood,Macaca mulatta,9544,Whole Blood,DG02,18517,HD-ID,2.90E+07,high,pre,60880.0,4.784,20,not_protected,DG02_125
81,DG02 HD-ID d2,GSM6735651,Whole Blood,Macaca mulatta,9544,Whole Blood,DG02,18517,HD-ID,2.90E+07,high,d2,60880.0,4.784,20,not_protected,DG02_126
82,DG02 HD-ID wk2,GSM6735652,Whole Blood,Macaca mulatta,9544,Whole Blood,DG02,18517,HD-ID,2.90E+07,high,wk2,60880.0,4.784,20,not_protected,DG02_127
83,DG02 HD-ID wk12,GSM6735653,Whole Blood,Macaca mulatta,9544,Whole Blood,DG02,18517,HD-ID,2.90E+07,high,wk12,60880.0,4.784,20,not_protected,DG02_128
84,DG05 ID/AE pre,GSM6735654,Whole Blood,Macaca mulatta,9544,Whole Blood,DG05,36516,ID/AE,5.2E+07 / 3.5E+05,high,pre,310350.0,5.492,26,not_protected,DG05_9
85,DG05 ID/AE d2,GSM6735655,Whole Blood,Macaca mulatta,9544,Whole Blood,DG05,36516,ID/AE,5.2E+07 / 3.5E+05,high,d2,310350.0,5.492,26,not_protected,DG05_10
86,DG05 ID/AE wk2,GSM6735656,Whole Blood,Macaca mulatta,9544,Whole Blood,DG05,36516,ID/AE,5.2E+07 / 3.5E+05,high,wk2,310350.0,5.492,26,not_protected,DG05_11
87,DG05 ID/AE wk12,GSM6735657,Whole Blood,Macaca mulatta,9544,Whole Blood,DG05,36516,ID/AE,5.2E+07 / 3.5E+05,high,wk12,310350.0,5.492,26,not_protected,DG05_12
88,DG49 HD-ID pre,GSM6735658,Whole Blood,Macaca mulatta,9544,Whole Blood,DG49,18717,HD-ID,2.90E+07,high,pre,185198.0,5.268,10,not_protected,DG49_137
89,DG49 HD-ID d2,GSM6735659,Whole Blood,Macaca mulatta,9544,Whole Blood,DG49,18717,HD-ID,2.90E+07,high,d2,185198.0,5.268,10,not_protected,DG49_138
90,DG49 HD-ID wk2,GSM6735660,Whole Blood,Macaca mulatta,9544,Whole Blood,DG49,18717,HD-ID,2.90E+07,high,wk2,185198.0,5.268,10,not_protected,DG49_139
91,DG49 HD-ID wk12,GSM6735661,Whole Blood,Macaca mulatta,9544,Whole Blood,DG49,18717,HD-ID,2.90E+07,high,wk12,185198.0,5.268,10,not_protected,DG49_140
92,DG75 IV pre,GSM6735662,Whole Blood,Macaca mulatta,9544,Whole Blood,DG75,12517,IV,3.70E+07,high,pre,0.0,0.0,0,protected,DG75_105
93,DG75 IV d2,GSM6735663,Whole Blood,Macaca mulatta,9544,Whole Blood,DG75,12517,IV,3.70E+07,high,d2,0.0,0.0,0,protected,DG75_106
94,DG75 IV wk2,GSM6735664,Whole Blood,Macaca mulatta,9544,Whole Blood,DG75,12517,IV,3.70E+07,high,wk2,0.0,0.0,0,protected,DG75_107
95,DG75 IV wk12,GSM6735665,Whole Blood,Macaca mulatta,9544,Whole Blood,DG75,12517,IV,3.70E+07,high,wk12,0.0,0.0,0,protected,DG75_108
96,DG82 ID/AE pre,GSM6735666,Whole Blood,Macaca mulatta,9544,Whole Blood,DG82,13917,ID/AE,3.7E+07 / 3.1E+05,high,pre,11395.0,4.057,17,not_protected,DG82_81
97,DG82 ID/AE d2,GSM6735667,Whole Blood,Macaca mulatta,9544,Whole Blood,DG82,13917,ID/AE,3.7E+07 / 3.1E+05,high,d2,11395.0,4.057,17,not_protected,DG82_82
98,DG82 ID/AE wk2,GSM6735668,Whole Blood,Macaca mulatta,9544,Whole Blood,DG82,13917,ID/AE,3.7E+07 / 3.1E+05,high,wk2,11395.0,4.057,17,not_protected,DG82_83
